토픽 번호,주요 키워드
Topic 0,"가리산, 정상, 코스, 자연휴양림, 등산, 고개, 무쇠, 하산, 말재, 도착, 산행, 등산로, 휴양림, 계곡, 주차장, 계단, 강우, 레이더, 버스, 관측, 사진, 방향, 명산, 나무, 입장료, 생각, 주차, 두촌면, 길이, 인증, 바위, 강원도, 정말, 사람, 특별자치도, 소리, 다시, 데크, 화장실, 모습, 출발, 오늘, 공사, 시설, 갈림길, 능선, 입구, 최단, 풍경, 겨울"
Topic 1,"가리산, 계곡, 자연휴양림, 용소, 폭포, 강원도, 두촌면, 파크, 플라잉, 캠핑장, 포츠, 체험, 시설, 이용, 휴양림, 여행, 위치, 산막, 캠핑, 여름, 정말, 특별자치도, 예약, 짚라인, 공간, 입구, 코스, 참고, 주차장, 주차, 자연, 타고, 나무, 서울, 공사, 힐링, 야영장, 안내, 국내, 사진, 장비, 인기, 도로, 오늘, 안전, 사용, 동이, 하루, 탑승, 산림"
Topic 2,"가리산, 자연휴양림, 여행, 산막, 고기, 계곡, 강원도, 숙소, 아침, 터미널, 특별자치도, 불멍, 이용, 객실, 여름, 축제, 파크, 포츠, 맥주, 도착, 이동, 재생, 농촌, 두촌면, 코스, 사진, 식사, 물놀이, 테마, 기도, 트레킹, 이후, 폭포, 가족, 예약, 참고, 계속, 가장, 벌레, 처음, 안쪽, 숯불, 다시, 준비, 지금, 주소, 엄마, 생태, 단풍나무, 공원"
Topic 3,"휴양림, 테이블, 생각, 사람, 욕실, 둘째, 이름, 방이, 저녁, 평상, 그릇, 일찍, 대가, 장끼, 아침, 숙박, 입실, 바베큐, 휴양, 등산로, 나무, 등산, 일반, 에어컨, 의자, 물건, 끼리, 후라이팬, 인사, 덩달아, 냄비, 신고, 산불, 거실, 인덕션, 주방, 연중, 미니, 옷장, 분명, 전날, 벤치, 본인, 녀석, 세상, 화장, 전체, 수납, 모양, 밥솥"
Topic 4,"가리산, 집사람, 휴양림, 특별자치도, 일산, 신축, 식사, 가을, 사찰, 거리, 도착, 위치, 자료, 지정, 공사, 후식, 간다, 제품, 겨울, 건물, 추석, 점심, 창건, 주전부리, 제호, 문화재, 온몸, 대적, 저녁, 위해, 산책, 숙박, 박일, 다시, 아침, 숙소, 자연휴양림, 장소, 내부, 예정, 경우, 새벽, 준비, 보물, 대충, 체크아웃, 최대한, 통제, 누가, 구조"
Topic 5,"아래, 계단, 시설, 예약, 자연휴양림, 데크, 산막, 이용, 아주, 사진, 포츠, 자리, 가리산, 사용, 다시, 사람, 얘기, 자연, 대기, 속초, 매점, 동이, 편의, 바람, 숲길, 관리, 바위, 체험, 설악산, 구매, 바로가기, 휴양림, 네이버, 꼭대기, 주차, 신청, 야영장, 통합, 소형, 야영, 잠자리, 휴게소, 건물, 벌레, 정말, 매미, 마음, 등산, 사무소, 입실"
Topic 6,"무쇠, 출발, 말재, 레이더, 주차장, 데크, 갈수, 나무, 왼쪽, 최단, 계단, 길이, 상태, 곰탕, 사이, 삼거리, 표지판, 등산로, 회귀, 원점, 강우, 가야, 구역, 진입, 차로, 보호, 약수터, 지압, 새벽, 다리, 이동, 주차, 용화산, 리목, 휴식, 감사, 관리, 아래, 통과, 속도, 어디가, 시간대, 남아, 매표소, 가성, 지역, 오락가락, 결정, 교통상황, 출입구"
Topic 7,"가리산, 산행, 계단, 코스, 휴양림, 주차장, 바람, 하산, 주차, 자연휴양림, 우측, 강원도, 좌측, 관리, 추천, 오후, 정산, 말재, 오늘, 오르막, 무쇠, 출발, 정상, 길이, 산림, 위해, 숙박, 행시, 무료, 벌써, 보고, 화장실, 입장료, 거리, 사람, 물이, 계곡, 관측, 야영장, 한번, 가장, 완전, 우린, 맑은, 제공, 안내, 휴양, 봉우리, 고민, 국민"
Topic 8,"가리산, 우렁이, 쌈밥, 최대, 자연휴양림, 맛집, 식당, 근처, 방문, 휴양림, 점심, 식사, 맥주, 두부, 강원도, 위치, 여행, 자연, 매력, 쌈장, 경치, 도착, 장소, 기억, 힐링, 특별자치도, 코스, 필수, 상추, 천원, 된장, 나물, 양배추, 볶음, 된장찌개, 커피, 최적, 수제, 기도, 버스, 반찬, 개인, 정말, 재생, 추천, 제공, 접기, 만끽, 살짝, 운영"
Topic 9,"산막, 데크, 소형, 자연휴양림, 가리산, 예약, 화장실, 캠핑, 텐트, 계곡, 야영장, 계단, 주차, 아침, 일찍, 사용, 샤워실, 휴양림, 이용, 만원, 가격, 생각, 아래, 사람, 주차장, 출발, 여름, 시설, 전기, 개수대, 선착순, 동이, 자연, 라면, 야영, 매우, 별도, 가장, 저녁, 등산, 세척, 입장료, 에어컨, 고민, 제일, 두촌면, 주말, 이제, 토요일, 날씨"
